날짜,내용,금액,카테고리,결제수단,구분
2024-02-09,김밥천국,6000,식비,롯데카드,변동비
2024-02-09,버거킹,18600,식비,롯데카드,변동비
2024-02-10,CU 편의점,5300,식비,롯데카드,변동비
2024-02-10,SK주유소,16000,교통,토스공유카드1,변동비
2024-02-10,SK주유소,14300,교통,토스공유카드1,변동비
2024-02-11,스타벅스,11200,식비,토스공유카드1,변동비
2024-02-11,SK주유소,500,교통,신한체크카드,변동비
2024-02-12,버거킹,10700,식비,롯데카드,변동비
2024-02-12,버거킹,17700,식비,토스공유카드2,변동비
2024-02-12,SK주유소,5600,교통,신한체크카드,변동비
2024-02-13,김밥천국,20000,식비,토스공유카드1,변동비
2024-02-13,카카오 택시,3500,교통,지역화폐,변동비
2024-02-13,지하철,6300,교통,지역화폐,변동비
2024-02-14,BBQ 치킨,8100,식비,토스공유카드2,변동비
2024-02-14,BBQ 치킨,11200,식비,토스공유카드2,변동비
2024-02-14,망원시장,15800,전통시장,토스공유카드2,변동비
2024-02-14,고속버스,9700,교통,신한체크카드,변동비
2024-02-15,CU 편의점,8400,식비,토스공유카드1,변동비
2024-02-17,BBQ 치킨,19200,식비,토스공유카드1,변동비
2024-02-17,카카오 택시,15500,교통,신한체크카드,변동비
2024-02-18,스타벅스,11400,식비,토스공유카드1,변동비
2024-02-18,노브랜드,63300,마트,롯데카드,변동비
2024-02-18,시내버스,8900,교통,토스공유카드1,변동비
2024-02-19,BBQ 치킨,13900,식비,토스공유카드1,변동비
2024-02-19,BBQ 치킨,13700,식비,토스공유카드2,변동비
2024-02-20,BBQ 치킨,14900,식비,토스공유카드2,변동비
2024-02-20,맘스터치,14700,식비,롯데카드,변동비
2024-02-20,스타벅스,18300,식비,토스공유카드1,변동비
2024-02-20,홈플러스,83900,마트,롯데카드,변동비
2024-02-20,고속버스,8700,교통,토스공유카드1,변동비
2024-02-21,BBQ 치킨,8200,식비,토스공유카드1,변동비
2024-02-22,맘스터치,17500,식비,삼성카드,변동비
2024-02-22,버거킹,11500,식비,롯데카드,변동비
2024-02-22,홈플러스,44200,마트,삼성카드,변동비
2024-02-22,카카오 택시,7300,교통,지역화폐,변동비
2024-02-23,버거킹,10800,식비,삼성카드,변동비
2024-02-23,시내버스,3800,교통,신한체크카드,변동비
2024-02-25,코스트코,19400,마트,삼성카드,변동비
2024-02-25,카카오 택시,3800,교통,토스공유카드1,변동비
2024-02-26,버거킹,4800,식비,롯데카드,변동비
2024-02-26,고속버스,8000,교통,신한체크카드,변동비
2024-02-27,고속버스,23000,교통,토스공유카드1,변동비
2024-02-27,카카오 택시,3200,교통,토스공유카드1,변동비
2024-02-28,카카오 택시,10200,교통,토스공유카드1,변동비
2024-02-29,맘스터치,21400,식비,토스공유카드2,변동비
2024-02-29,CU 편의점,7800,식비,롯데카드,변동비
2024-02-29,카카오 택시,9900,교통,토스공유카드1,변동비
2024-03-01,관리실 주차비,46800,주거,신한체크카드,고정비
2024-03-01,투썸플레이스,16500,식비,삼성카드,변동비
2024-03-01,SK주유소,13000,교통,신한체크카드,변동비
2024-03-02,도시가스 요금,30500,가스요금,신한체크카드,고정비
2024-03-02,SKT 휴대폰,86800,통신비,신한체크카드,고정비
2024-03-02,버거킹,15400,식비,토스공유카드1,변동비
2024-03-02,BBQ 치킨,7800,식비,삼성카드,변동비
2024-03-02,BBQ 치킨,6700,식비,토스공유카드2,변동비
2024-03-03,주택담보대출 이자,457200,대출이자,신한체크카드,고정비
2024-03-03,투썸플레이스,11500,식비,삼성카드,변동비
2024-03-03,투썸플레이스,24100,식비,토스공유카드2,변동비
2024-03-03,시내버스,9800,교통,신한체크카드,변동비
2024-03-03,지하철,15300,교통,신한체크카드,변동비
2024-03-04,한전 전기요금,81100,전기요금,신한체크카드,고정비
2024-03-04,상하수도 요금,34700,공과금,지역화폐,고정비
2024-03-04,BBQ 치킨,25900,식비,롯데카드,변동비
2024-03-04,BBQ 치킨,16900,식비,삼성카드,변동비
2024-03-04,코스트코,59300,마트,삼성카드,변동비
2024-03-04,지하철,12700,교통,토스공유카드1,변동비
2024-03-05,아파트 관리비,243300,관리비,신한체크카드,고정비
2024-03-05,유튜브 프리미엄,14200,문화/여가,삼성카드,변동비
2024-03-05,CU 편의점,2000,식비,토스공유카드2,변동비
2024-03-05,경동시장,23500,전통시장,토스공유카드2,변동비
2024-03-05,지하철,14000,교통,신한체크카드,변동비
2024-03-05,지하철,8400,교통,지역화폐,변동비
2024-03-06,버거킹,2100,식비,롯데카드,변동비
2024-03-06,이마트,51500,마트,롯데카드,변동비
2024-03-06,시내버스,11700,교통,지역화폐,변동비
2024-03-07,투썸플레이스,9200,식비,삼성카드,변동비
2024-03-07,지하철,6000,교통,신한체크카드,변동비
2024-03-08,스타벅스,28100,식비,토스공유카드1,변동비
2024-03-08,투썸플레이스,20600,식비,토스공유카드1,변동비
2024-03-08,BBQ 치킨,15600,식비,토스공유카드2,변동비
2024-03-08,카카오 택시,5800,교통,토스공유카드1,변동비
2024-03-09,버거킹,26100,식비,토스공유카드2,변동비
2024-03-09,지하철,9000,교통,토스공유카드1,변동비
2024-03-10,버거킹,13800,식비,토스공유카드1,변동비
2024-03-10,김밥천국,8000,식비,삼성카드,변동비
2024-03-10,시내버스,2000,교통,토스공유카드1,변동비
2024-03-11,광장시장,6400,전통시장,지역화폐,변동비
2024-03-12,투썸플레이스,14700,식비,토스공유카드1,변동비
2024-03-12,카카오 택시,9900,교통,신한체크카드,변동비
2024-03-12,카카오 택시,7900,교통,지역화폐,변동비
2024-03-13,맘스터치,6600,식비,삼성카드,변동비
2024-03-13,SK주유소,15100,교통,신한체크카드,변동비
2024-03-15,버거킹,10400,식비,토스공유카드2,변동비
2024-03-16,배달의민족,700,식비,토스공유카드1,변동비
2024-03-17,버거킹,1600,식비,토스공유카드2,변동비
2024-03-17,맘스터치,23800,식비,토스공유카드1,변동비
2024-03-18,투썸플레이스,26000,식비,토스공유카드2,변동비
2024-03-18,고속버스,2200,교통,지역화폐,변동비
2024-03-19,맘스터치,18600,식비,토스공유카드2,변동비
2024-03-19,투썸플레이스,18300,식비,토스공유카드1,변동비
2024-03-20,CU 편의점,10900,식비,토스공유카드1,변동비
2024-03-20,코스트코,62700,마트,삼성카드,변동비
2024-03-20,망원시장,26700,전통시장,지역화폐,변동비
2024-03-21,스타벅스,14100,식비,삼성카드,변동비
2024-03-22,배달의민족,8400,식비,토스공유카드1,변동비
2024-03-22,스타벅스,21700,식비,삼성카드,변동비
2024-03-22,이마트,55600,마트,롯데카드,변동비
2024-03-22,망원시장,20500,전통시장,토스공유카드2,변동비
2024-03-23,맘스터치,12300,식비,롯데카드,변동비
2024-03-23,BBQ 치킨,6700,식비,롯데카드,변동비
2024-03-23,고속버스,9200,교통,신한체크카드,변동비
2024-03-24,배달의민족,20400,식비,토스공유카드2,변동비
2024-03-24,SK주유소,9700,교통,지역화폐,변동비
2024-03-25,CU 편의점,11000,식비,토스공유카드1,변동비
2024-03-25,CU 편의점,11400,식비,토스공유카드2,변동비
2024-03-25,고속버스,1600,교통,지역화폐,변동비
2024-03-26,김밥천국,18300,식비,토스공유카드2,변동비
2024-03-26,BBQ 치킨,18500,식비,토스공유카드2,변동비
2024-03-27,버거킹,8300,식비,토스공유카드1,변동비
2024-03-27,지하철,8900,교통,지역화폐,변동비
2024-03-28,CU 편의점,10300,식비,삼성카드,변동비
2024-03-28,배달의민족,5300,식비,토스공유카드1,변동비
2024-03-28,SK주유소,5300,교통,토스공유카드1,변동비
2024-03-28,지하철,13300,교통,신한체크카드,변동비
2024-03-29,지하철,6900,교통,신한체크카드,변동비
2024-03-30,CU 편의점,17200,식비,삼성카드,변동비
2024-03-30,투썸플레이스,16700,식비,롯데카드,변동비
2024-03-30,지하철,10600,교통,신한체크카드,변동비
2024-03-31,CU 편의점,22900,식비,롯데카드,변동비
2024-03-31,스타벅스,19200,식비,토스공유카드2,변동비
2024-03-31,맘스터치,6400,식비,삼성카드,변동비
2024-04-01,맘스터치,19300,식비,토스공유카드2,변동비
2024-04-01,배달의민족,5800,식비,롯데카드,변동비
2024-04-01,SK주유소,9700,교통,신한체크카드,변동비
2024-04-02,코스트코,86600,마트,삼성카드,변동비
2024-04-02,지하철,16600,교통,신한체크카드,변동비
2024-04-02,지하철,8200,교통,토스공유카드1,변동비
2024-04-03,주택담보대출 이자,428000,대출이자,신한체크카드,고정비
2024-04-03,유튜브 프리미엄,18300,문화/여가,롯데카드,변동비
2024-04-04,아파트 관리비,248800,관리비,신한체크카드,고정비
2024-04-04,SKT 휴대폰,87900,통신비,삼성카드,고정비
2024-04-04,무신사,66200,의류/미용,롯데카드,변동비
2024-04-04,맘스터치,22300,식비,롯데카드,변동비
2024-04-04,김밥천국,18400,식비,삼성카드,변동비
2024-04-05,한전 전기요금,79200,전기요금,지역화폐,고정비
2024-04-05,도시가스 요금,47200,가스요금,신한체크카드,고정비
2024-04-05,상하수도 요금,23600,공과금,신한체크카드,고정비
2024-04-05,관리실 주차비,44200,주거,신한체크카드,고정비
2024-04-05,맘스터치,9400,식비,삼성카드,변동비
2024-04-05,BBQ 치킨,4200,식비,토스공유카드2,변동비
2024-04-05,고속버스,9200,교통,신한체크카드,변동비
2024-04-06,CU 편의점,14500,식비,토스공유카드2,변동비
2024-04-06,버거킹,15100,식비,토스공유카드1,변동비
2024-04-07,배달의민족,25400,식비,롯데카드,변동비
2024-04-08,투썸플레이스,17600,식비,토스공유카드2,변동비
2024-04-08,지하철,1100,교통,토스공유카드1,변동비
2024-04-09,BBQ 치킨,17000,식비,삼성카드,변동비
2024-04-09,카카오 택시,9700,교통,토스공유카드1,변동비
2024-04-09,시내버스,7800,교통,지역화폐,변동비
2024-04-10,BBQ 치킨,21500,식비,삼성카드,변동비
2024-04-10,카카오 택시,7700,교통,토스공유카드1,변동비
2024-04-11,CU 편의점,15900,식비,토스공유카드2,변동비
2024-04-11,고속버스,8700,교통,지역화폐,변동비
2024-04-12,스타벅스,18200,식비,토스공유카드2,변동비
2024-04-12,이마트,47200,마트,삼성카드,변동비
2024-04-12,카카오 택시,10300,교통,토스공유카드1,변동비
2024-04-13,맘스터치,3400,식비,토스공유카드2,변동비
2024-04-13,CU 편의점,19000,식비,삼성카드,변동비
2024-04-13,CU 편의점,13700,식비,토스공유카드2,변동비
2024-04-14,맘스터치,4300,식비,롯데카드,변동비
2024-04-14,고속버스,7800,교통,신한체크카드,변동비
2024-04-15,스타벅스,18900,식비,삼성카드,변동비
2024-04-15,광장시장,7000,전통시장,지역화폐,변동비
2024-04-15,고속버스,6600,교통,신한체크카드,변동비
2024-04-15,시내버스,14500,교통,토스공유카드1,변동비
2024-04-16,BBQ 치킨,16800,식비,토스공유카드2,변동비
2024-04-16,고속버스,6500,교통,신한체크카드,변동비
2024-04-17,김밥천국,14200,식비,토스공유카드1,변동비
2024-04-17,배달의민족,9400,식비,토스공유카드2,변동비
2024-04-17,CU 편의점,9900,식비,롯데카드,변동비
2024-04-18,스타벅스,11900,식비,토스공유카드2,변동비
2024-04-18,맘스터치,17700,식비,토스공유카드2,변동비
2024-04-18,CU 편의점,11400,식비,롯데카드,변동비
2024-04-18,SK주유소,11900,교통,지역화폐,변동비
2024-04-19,맘스터치,12800,식비,토스공유카드1,변동비
2024-04-20,스타벅스,13400,식비,롯데카드,변동비
2024-04-20,맘스터치,5100,식비,롯데카드,변동비
2024-04-20,고속버스,6100,교통,신한체크카드,변동비
2024-04-21,맘스터치,12400,식비,롯데카드,변동비
2024-04-21,지하철,14700,교통,토스공유카드1,변동비
2024-04-22,김밥천국,22700,식비,삼성카드,변동비
2024-04-22,광장시장,22600,전통시장,지역화폐,변동비
2024-04-22,카카오 택시,12100,교통,지역화폐,변동비
2024-04-23,배달의민족,6900,식비,토스공유카드2,변동비
2024-04-23,CU 편의점,18000,식비,토스공유카드1,변동비
2024-04-23,배달의민족,11400,식비,삼성카드,변동비
2024-04-23,카카오 택시,9200,교통,지역화폐,변동비
2024-04-25,BBQ 치킨,20900,식비,삼성카드,변동비
2024-04-25,스타벅스,12000,식비,롯데카드,변동비
2024-04-26,김밥천국,17600,식비,토스공유카드1,변동비
2024-04-26,카카오 택시,5700,교통,지역화폐,변동비
2024-04-27,김밥천국,9900,식비,롯데카드,변동비
2024-04-27,CU 편의점,26600,식비,토스공유카드1,변동비
2024-04-27,코스트코,34700,마트,삼성카드,변동비
2024-04-27,시내버스,9600,교통,신한체크카드,변동비
2024-04-28,CU 편의점,20500,식비,롯데카드,변동비
2024-04-28,투썸플레이스,9100,식비,롯데카드,변동비
2024-04-29,맘스터치,22000,식비,토스공유카드1,변동비
2024-04-30,BBQ 치킨,18000,식비,롯데카드,변동비
2024-04-30,SK주유소,6300,교통,지역화폐,변동비
2024-04-30,학기 등록금 분할,521200,교육,삼성카드,변동비
2024-05-01,주택담보대출 이자,417900,대출이자,신한체크카드,고정비
2024-05-01,유니클로,500,의류/미용,롯데카드,변동비
2024-05-02,한전 전기요금,84100,전기요금,신한체크카드,고정비
2024-05-02,맘스터치,7500,식비,토스공유카드1,변동비
2024-05-02,시내버스,7000,교통,신한체크카드,변동비
2024-05-02,고속버스,9900,교통,지역화폐,변동비
2024-05-03,SKT 휴대폰,91200,통신비,신한체크카드,고정비
2024-05-03,치과,11600,의료,신한체크카드,변동비
2024-05-03,BBQ 치킨,33000,식비,롯데카드,변동비
2024-05-03,고속버스,13700,교통,지역화폐,변동비
2024-05-03,가족 여행 숙박,454100,문화/여가,신한체크카드,변동비
2024-05-04,아파트 관리비,315300,관리비,지역화폐,고정비
2024-05-04,상하수도 요금,25700,공과금,신한체크카드,고정비
2024-05-04,BBQ 치킨,23600,식비,토스공유카드2,변동비
2024-05-05,도시가스 요금,62800,가스요금,지역화폐,고정비
2024-05-05,유튜브 프리미엄,8000,문화/여가,롯데카드,변동비
2024-05-05,맘스터치,2900,식비,토스공유카드1,변동비
2024-05-05,스타벅스,16300,식비,삼성카드,변동비
2024-05-05,스타벅스,500,식비,롯데카드,변동비
2024-05-06,김밥천국,19300,식비,토스공유카드1,변동비
2024-05-08,맘스터치,8700,식비,삼성카드,변동비
2024-05-08,스타벅스,12900,식비,토스공유카드1,변동비
2024-05-08,지하철,16500,교통,토스공유카드1,변동비
2024-05-08,카카오 택시,12800,교통,토스공유카드1,변동비
2024-05-09,투썸플레이스,11700,식비,토스공유카드1,변동비
2024-05-10,투썸플레이스,11800,식비,토스공유카드1,변동비
2024-05-10,BBQ 치킨,15200,식비,토스공유카드2,변동비
2024-05-11,카카오 택시,8600,교통,신한체크카드,변동비
2024-05-11,시내버스,8300,교통,지역화폐,변동비
2024-05-12,BBQ 치킨,4600,식비,롯데카드,변동비
2024-05-13,투썸플레이스,17800,식비,삼성카드,변동비
2024-05-13,시내버스,4900,교통,지역화폐,변동비
2024-05-14,BBQ 치킨,7000,식비,롯데카드,변동비
2024-05-14,롯데마트,58200,마트,토스공유카드1,변동비
2024-05-15,배달의민족,20800,식비,토스공유카드2,변동비
2024-05-15,경동시장,25600,전통시장,토스공유카드2,변동비
2024-05-16,CU 편의점,13600,식비,토스공유카드2,변동비
2024-05-16,노브랜드,34200,마트,롯데카드,변동비
2024-05-17,BBQ 치킨,13500,식비,롯데카드,변동비
2024-05-17,이마트,37800,마트,삼성카드,변동비
2024-05-17,고속버스,14200,교통,지역화폐,변동비
2024-05-17,고속버스,5500,교통,토스공유카드1,변동비
2024-05-18,배달의민족,16600,식비,토스공유카드1,변동비
2024-05-19,스타벅스,14100,식비,토스공유카드1,변동비
2024-05-19,CU 편의점,24200,식비,토스공유카드1,변동비
2024-05-19,SK주유소,18400,교통,토스공유카드1,변동비
2024-05-20,BBQ 치킨,15700,식비,롯데카드,변동비
2024-05-20,지하철,4500,교통,토스공유카드1,변동비
2024-05-21,김밥천국,11300,식비,삼성카드,변동비
2024-05-21,SK주유소,2800,교통,지역화폐,변동비
2024-05-22,김밥천국,29700,식비,롯데카드,변동비
2024-05-22,김밥천국,16400,식비,롯데카드,변동비
2024-05-22,시내버스,2200,교통,신한체크카드,변동비
2024-05-23,배달의민족,19500,식비,삼성카드,변동비
2024-05-23,김밥천국,500,식비,토스공유카드2,변동비
2024-05-24,CU 편의점,3700,식비,토스공유카드1,변동비
2024-05-24,버거킹,9500,식비,삼성카드,변동비
2024-05-24,버거킹,10100,식비,토스공유카드1,변동비
2024-05-25,김밥천국,10000,식비,토스공유카드2,변동비
2024-05-25,카카오 택시,3700,교통,신한체크카드,변동비
2024-05-26,카카오 택시,14900,교통,신한체크카드,변동비
2024-05-26,지하철,6000,교통,신한체크카드,변동비
2024-05-27,맘스터치,8700,식비,토스공유카드1,변동비
2024-05-27,BBQ 치킨,19200,식비,삼성카드,변동비
2024-05-27,김밥천국,15600,식비,토스공유카드1,변동비
2024-05-27,노브랜드,40500,마트,토스공유카드1,변동비
2024-05-28,김밥천국,11500,식비,토스공유카드2,변동비
2024-05-28,CU 편의점,11200,식비,토스공유카드2,변동비
2024-05-28,홈플러스,89600,마트,롯데카드,변동비
2024-05-28,SK주유소,8200,교통,신한체크카드,변동비
2024-05-28,시내버스,8100,교통,신한체크카드,변동비
2024-05-29,맘스터치,7200,식비,삼성카드,변동비
2024-05-29,배달의민족,16700,식비,삼성카드,변동비
2024-05-29,중앙시장,18800,전통시장,토스공유카드2,변동비
2024-05-30,버거킹,13700,식비,롯데카드,변동비
2024-05-30,CU 편의점,12300,식비,토스공유카드1,변동비
2024-05-30,시내버스,10700,교통,지역화폐,변동비
2024-05-31,CU 편의점,6700,식비,삼성카드,변동비
2024-05-31,BBQ 치킨,6400,식비,롯데카드,변동비
2024-05-31,시내버스,2900,교통,지역화폐,변동비
2024-05-31,부모님 생신 선물,130500,경조사,신한체크카드,변동비
2024-06-01,도시가스 요금,31700,가스요금,신한체크카드,고정비
2024-06-01,BBQ 치킨,10900,식비,삼성카드,변동비
2024-06-01,지하철,3200,교통,신한체크카드,변동비
2024-06-02,한전 전기요금,74000,전기요금,신한체크카드,고정비
2024-06-02,넷플릭스 구독,26800,문화/여가,삼성카드,변동비
2024-06-02,망원시장,20000,전통시장,지역화폐,변동비
2024-06-03,LG U+ 휴대폰,102300,통신비,신한체크카드,고정비
2024-06-03,상하수도 요금,27300,공과금,신한체크카드,고정비
2024-06-03,BBQ 치킨,16500,식비,토스공유카드2,변동비
2024-06-03,맘스터치,16200,식비,토스공유카드2,변동비
2024-06-03,SK주유소,3300,교통,토스공유카드1,변동비
2024-06-04,아파트 관리비,251500,관리비,지역화폐,고정비
2024-06-04,배달의민족,9500,식비,토스공유카드2,변동비
2024-06-04,버거킹,17700,식비,롯데카드,변동비
2024-06-04,코스트코,20200,마트,토스공유카드1,변동비
2024-06-04,경동시장,25500,전통시장,토스공유카드2,변동비
2024-06-05,주택담보대출 이자,423800,대출이자,신한체크카드,고정비
2024-06-05,스타벅스,11900,식비,토스공유카드2,변동비
2024-06-05,SK주유소,3700,교통,토스공유카드1,변동비
2024-06-06,스타벅스,20500,식비,토스공유카드1,변동비
2024-06-06,맘스터치,16800,식비,삼성카드,변동비
2024-06-07,고속버스,12500,교통,신한체크카드,변동비
2024-06-08,김밥천국,9100,식비,삼성카드,변동비
2024-06-08,맘스터치,14000,식비,롯데카드,변동비
2024-06-08,지하철,8100,교통,토스공유카드1,변동비
2024-06-10,투썸플레이스,15600,식비,토스공유카드2,변동비
2024-06-10,김밥천국,1600,식비,롯데카드,변동비
2024-06-10,코스트코,47600,마트,롯데카드,변동비
2024-06-10,카카오 택시,1900,교통,신한체크카드,변동비
2024-06-11,스타벅스,7400,식비,삼성카드,변동비
2024-06-11,고속버스,14400,교통,토스공유카드1,변동비
2024-06-12,BBQ 치킨,2400,식비,롯데카드,변동비
2024-06-12,CU 편의점,22700,식비,토스공유카드1,변동비
2024-06-13,BBQ 치킨,9300,식비,삼성카드,변동비
2024-06-13,SK주유소,12400,교통,신한체크카드,변동비
2024-06-14,스타벅스,8400,식비,토스공유카드2,변동비
2024-06-14,SK주유소,9000,교통,토스공유카드1,변동비
2024-06-15,배달의민족,10500,식비,토스공유카드1,변동비
2024-06-15,투썸플레이스,8600,식비,롯데카드,변동비
